Hillbilly Elegy,2020,38 Metascore,Ron Howard,$6.01M
Hitchcock,2012,55 Metascore,Sacha Gervasi,$73.21M
Hollow Man,2000,24 Metascore,Paul Verhoeven,$23.53M
Outside the Law,2010,59 Metascore,Rachid Bouchareb,$53.81M
Hotel Rwanda,2004,79 Metascore,Terry George,$13.01M
House of Gucci,2021,59 Metascore,Ridley Scott,$260.04M
House of Sand and Fog,2003,71 Metascore,Vadim Perelman,$217.58M
How the Grinch Stole Christmas,2000,46 Metascore,Ron Howard,$177.00M
How to Train Your Dragon,2010,75 Metascore,Dean DeBlois,$160.80M
How to Train Your Dragon 2,2014,77 Metascore,Dean DeBlois,$73.86M
How to Train Your Dragon: The Hidden World,2019,71 Metascore,Dean DeBlois,$1.08M
Hugo,2011,83 Metascore,Martin Scorsese,$22.20M
The 100 Year-Old Man Who Climbed Out the Window and Disappeared,2013,58 Metascore,Felix Herngren,$1.01M
Hustle & Flow,2005,68 Metascore,Craig Brewer,$40.31M
In a Better World,2010,65 Metascore,Susanne Bier,$4.02M
I Am Sam,2001,28 Metascore,Jessie Nelson,$144.80M
I'm Not There,2007,73 Metascore,Todd Haynes,$30.01M
"I, Robot",2004,59 Metascore,Alex Proyas,$176.39M
"I, Tonya",2017,77 Metascore,Craig Gillespie,$0.07M
Ice Age,2002,61 Metascore,Chris Wedge,$14.92M
Everybody's Famous!,2000,60 Metascore,Dominique Deruddere,$0.24M
If Beale Street Could Talk,2018,87 Metascore,Barry Jenkins,$15.54M
Il Divo,2008,81 Metascore,Paolo Sorrentino,$7.76M
In America,2002,76 Metascore,Jim Sheridan,$35.93M
In Bruges,2008,67 Metascore,Martin McDonagh,$2.38M
In the Bedroom,2001,86 Metascore,Todd Field,$6.78M
In the Loop,2009,83 Metascore,Armando Iannucci,$6.86M
In the Valley of Elah,2007,65 Metascore,Paul Haggis,$292.58M
Incendies,2010,80 Metascore,Denis Villeneuve,$608.58M
Inception,2010,74 Metascore,Christopher Nolan,$120.54M
Incredibles 2,2018,80 Metascore,Brad Bird,$8.11M
Inglourious Basterds,2009,69 Metascore,Quentin Tarantino,$13.24M
Inherent Vice,2014,81 Metascore,Paul Thomas Anderson,$356.46M
Inside Llewyn Davis,2013,93 Metascore,Ethan Coen,$188.02M
Inside Out,I 2015,94 Metascore,Pete Docter,$18.35M
Interstellar,2014,74 Metascore,Christopher Nolan,$128.00M
Into the Wild,2007,73 Metascore,Sean Penn,$37.49M
Into the Woods,2014,69 Metascore,Rob Marshall,$5.01M
Invictus,2009,74 Metascore,Clint Eastwood,$1.29M
I Am Love,2009,79 Metascore,Luca Guadagnino,$318.41M
Iris,I 2001,76 Metascore,Richard Eyre,$312.43M
Iron Man,2008,79 Metascore,Jon Favreau,$409.01M
Iron Man 2,2010,57 Metascore,Jon Favreau,$32.02M
Iron Man 3,2013,62 Metascore,Shane Black,$13.96M
Isle of Dogs,2018,82 Metascore,Wes Anderson,$0.69M
Jackie,V 2016,81 Metascore,Pablo Larraín,$11.24M
The Hunt,2012,77 Metascore,Thomas Vinterberg,$80.94M
Jane Eyre,2011,76 Metascore,Cary Joji Fukunaga,$33.37M
Jimmy Neutron: Boy Genius,2001,65 Metascore,John A. Davis,$335.45M
Jojo Rabbit,2019,58 Metascore,Taika Waititi,$56.45M
Joker,I 2019,59 Metascore,Todd Phillips,$1.05M
Joy,I 2015,56 Metascore,David O. Russell,$94.13M
Joyeux Noel,2005,70 Metascore,Christian Carion,$2.68M
Judas and the Black Messiah,2021,85 Metascore,Shaka King,$143.50M
Judy,II 2019,66 Metascore,Rupert Goold,$47.12M
Julie & Julia,2009,66 Metascore,Nora Ephron,$218.08M
Junebug,2005,80 Metascore,Phil Morrison,$10.21M
Juno,2007,81 Metascore,Jason Reitman,$165.36M
Kate & Leopold,2001,44 Metascore,James Mangold,$1.52M
King Kong,2005,81 Metascore,Peter Jackson,$168.05M
King Richard,2021,76 Metascore,Reinaldo Marcus Green,$0.12M
Kinsey,2004,79 Metascore,Bill Condon,$48.02M
Klaus,2019,65 Metascore,Sergio Pablos,$215.43M
Knives Out,2019,82 Metascore,Rian Johnson,$165.25M
Kon-Tiki,2012,62 Metascore,Joachim Rønning,$2.23M
Kong: Skull Island,2017,62 Metascore,Jordan Vogt-Roberts,$151.10M
A War,2015,81 Metascore,Tobias Lindholm,$10.30M
Kubo and the Two Strings,2016,84 Metascore,Travis Knight,$0.03M
Kung Fu Panda,2008,74 Metascore,Mark Osborne,$48.96M
Kung Fu Panda 2,2011,67 Metascore,Jennifer Yuh Nelson,$0.07M
The Illusionist,2010,82 Metascore,Sylvain Chomet,$5.97M
La La Land,2016,94 Metascore,Damien Chazelle,$33.23M
La Vie En Rose,2007,66 Metascore,Olivier Dahan,$0.64M
Don't Tell,2005,52 Metascore,Cristina Comencini,$148.81M
LaLee's Kin: The Legacy of Cotton,2001 TV Movie,78 Metascore,Deborah Dickson,$3.43M
Lady Bird,2017,93 Metascore,Greta Gerwig,$13.76M
Lagaan: Once Upon a Time in India,2001,84 Metascore,Ashutosh Gowariker,$63.84M
Lars and the Real Girl,2007,70 Metascore,Craig Gillespie,$124.99M
Amélie,2001,69 Metascore,Jean-Pierre Jeunet,$145.79M
The Taste of Others,2000,78 Metascore,Agnès Jaoui,$182.21M
Les Misérables,2012,63 Metascore,Tom Hooper,$51.74M
The Barbarian Invasions,2003,70 Metascore,Denys Arcand,$5.46M
Letters from Iwo Jima,2006,89 Metascore,Clint Eastwood,$59.89M
Licorice Pizza,2021,90 Metascore,Paul Thomas Anderson,$108.10M
Life,I 1999,63 Metascore,Ted Demme,$19.02M
Life of Pi,2012,79 Metascore,Ang Lee,$226.28M
Lilo & Stitch,2002,74 Metascore,Dean DeBlois,$125.10M
Lincoln,2012,87 Metascore,Steven Spielberg,$44.59M
Lion,2016,69 Metascore,Garth Davis,$1.07M
Little Children,2006,75 Metascore,Todd Field,$7.70M
Little Miss Sunshine,2006,80 Metascore,Jonathan Dayton,$6.74M
Little Women,2019,91 Metascore,Greta Gerwig,$154.06M
Living,2022,81 Metascore,Oliver Hermanus,$22.46M
The Impossible,2012,73 Metascore,J.A. Bayona,$241.41M
Logan,2017,77 Metascore,James Mangold,$113.93M
Lone Survivor,2013,60 Metascore,Peter Berg,$3.45M
Lost in Translation,2003,91 Metascore,Sofia Coppola,$47.70M
Love and Monsters,2020,63 Metascore,Michael Matthews,$8.32M
Loving,2016,79 Metascore,Jeff Nichols,$5.79M
Loving Vincent,2017,62 Metascore,DK Welchman,$5.35M
Luca,2021,71 Metascore,Enrico Casarosa,$6.52M
Lunana: A Yak in the Classroom,2019,76 Metascore,Pawo Choyning Dorji,$15.96M
Ma Rainey's Black Bottom,2020,87 Metascore,George C. Wolfe,$2.00M
Mad Max: Fury Road,2015,90 Metascore,George Miller,$10.05M
Magnolia,1999,78 Metascore,Paul Thomas Anderson,$171.96M
Maleficent,2014,56 Metascore,Robert Stromberg,$16.47M
Maleficent: Mistress of Evil,2019,43 Metascore,Joachim Rønning,$93.93M
Malena,2000,54 Metascore,Giuseppe Tornatore,$23.09M
Manchester by the Sea,2016,96 Metascore,Kenneth Lonergan,$166.24M
Mandela: Long Walk to Freedom,2013,60 Metascore,Justin Chadwick,$25.54M
Marcel the Shell with Shoes On,2021,80 Metascore,Dean Fleischer Camp,$57.49M
Margin Call,2011,76 Metascore,J.C. Chandor,$49.03M
Maria Full of Grace,2004,87 Metascore,Joshua Marston,$56.82M
Marie Antoinette,2006,65 Metascore,Sofia Coppola,$31.84M
Marriage Story,2019,94 Metascore,Noah Baumbach,$100.49M
Marshall,2017,66 Metascore,Reginald Hudlin,$132.07M
Mary Poppins Returns,2018,66 Metascore,Rob Marshall,$0.81M
Mary Queen of Scots,2018,60 Metascore,Josie Rourke,$64.94M
Master and Commander: The Far Side of the World,2003,81 Metascore,Peter Weir,$16.65M
Match Point,2005,72 Metascore,Woody Allen,$248.76M
Meet the Parents,2000,73 Metascore,Jay Roach,$28.78M
Memento,2000,83 Metascore,Christopher Nolan,$75.61M
Memoirs of a Geisha,2005,54 Metascore,Rob Marshall,$2.01M
Michael Clayton,2007,82 Metascore,Tony Gilroy,$34.47M
Midnight in Paris,2011,81 Metascore,Woody Allen,$73.66M
Milk,I 2008,83 Metascore,Gus Van Sant,$31.27M
Million Dollar Baby,2004,86 Metascore,Clint Eastwood,$289.92M
Minari,2020,89 Metascore,Lee Isaac Chung,$27.85M
Minority Report,2002,80 Metascore,Steven Spielberg,$45.51M
Mirai,2018,81 Metascore,Mamoru Hosoda,$57.39M
Mirror Mirror,I 2012,46 Metascore,Tarsem Singh,$3.96M
Missing Link,2019,68 Metascore,Chris Butler,$11.03M
Moana,I 2016,81 Metascore,Ron Clements,$7.22M
Molly's Game,2017,71 Metascore,Aaron Sorkin,$47.40M
Moneyball,2011,87 Metascore,Bennett Miller,$14.86M
Monsieur Lazhar,2011,82 Metascore,Philippe Falardeau,$241.44M
Monster,2003,74 Metascore,Patty Jenkins,$14.60M
Monster House,2006,68 Metascore,Gil Kenan,$90.14M
Monster's Ball,2001,69 Metascore,Marc Forster,$32.38M
"Monsters, Inc.",2001,79 Metascore,Pete Docter,$24.00M
Moonlight,I 2016,99 Metascore,Barry Jenkins,$6.17M
Moonrise Kingdom,2012,84 Metascore,Wes Anderson,$74.28M
Moulin Rouge!,2001,66 Metascore,Baz Luhrmann,$1.06M
Mr. Turner,2014,94 Metascore,Mike Leigh,$160.87M
Mrs. Harris Goes to Paris,2022,70 Metascore,Anthony Fabian,$10.66M
